omega,measured_nu,analytical_nu
0.5,0.498676,0.5
0.6,0.388318,0.388889
0.8,0.249897,0.25
1,0.166667,0.166667
1.2,0.111131,0.111111
1.4,0.0714478,0.0714286
1.6,0.0416795,0.0416667
1.8,0.0185245,0.0185185
1.9,0.00877481,0.00877193
