omega,measured_nu,analytical_nu
0.2,1.45248,1.5
0.25,1.14389,1.16667
0.3,0.932079,0.944444
0.35,0.778424,0.785714
0.4,0.662114,0.666667
0.45,0.571112,0.574074
0.5,0.498016,0.5
0.55,0.438038,0.439394
0.6,0.38795,0.388889
0.65,0.3455,0.346154
0.7,0.30907,0.309524
0.75,0.277467,0.277778
0.8,0.249793,0.25
0.85,0.225359,0.22549
0.9,0.203629,0.203704
0.95,0.184179,0.184211
1,0.166667,0.166667
1.05,0.150818,0.150794
1.1,0.136406,0.136364
1.15,0.123245,0.123188
1.2,0.111178,0.111111
1.25,0.100074,0.1
1.3,0.0898237,0.0897436
1.35,0.0803312,0.0802469
1.4,0.0715158,0.0714286
1.45,0.0633076,0.0632184
1.5,0.0556459,0.0555556
1.55,0.048478,0.0483871
1.6,0.0417577,0.0416667
1.65,0.0354443,0.0353535
1.7,0.0295019,0.0294118
1.75,0.0238989,0.0238095
1.8,0.0186069,0.0185185
1.85,0.0136008,0.0135135
1.9,0.00885795,0.00877193
1.95,0.00435823,0.0042735
